countrycode,country,city,year,subject,value
NLD,The Netherlands,Amsterdam,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",54.2
NLD,The Netherlands,Amsterdam,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",53.6
NLD,The Netherlands,Amsterdam,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
TUR,Turkey,Ankara,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",34
GRC,Greece,Athens,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",34.7
GRC,Greece,Athens,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2011,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",33.3
GRC,Greece,Athens,2012,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2013,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2014,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2015,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2016,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
GRC,Greece,Athens,2017,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
DEU,Germany,Berlin,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",34.1
DEU,Germany,Berlin,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",35.4
DEU,Germany,Berlin,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",35.5
