countrycode,country,city,year,subject,value,unit
NLD,The Netherlands,Amsterdam,2008,Total land area (km2),2819.84,Square kilometres
NLD,The Netherlands,Amsterdam,2009,Total land area (km2),2819.84,Square kilometres
NLD,The Netherlands,Amsterdam,2010,Total land area (km2),2819.84,Square kilometres
NLD,The Netherlands,Amsterdam,2011,Total land area (km2),2819.84,Square kilometres
NLD,The Netherlands,Amsterdam,2012,Total land area (km2),2819.84,Square kilometres
NLD,The Netherlands,Amsterdam,2013,Total land area (km2),2819.84,Square kilometres
NLD,The Netherlands,Amsterdam,2014,Total land area (km2),2819.84,Square kilometres
GRC,Greece,Athens,2008,Total land area (km2),1656.14,Square kilometres
GRC,Greece,Athens,2009,Total land area (km2),1656.14,Square kilometres
GRC,Greece,Athens,2010,Total land area (km2),1656.14,Square kilometres
GRC,Greece,Athens,2011,Total land area (km2),1656.14,Square kilometres
GRC,Greece,Athens,2012,Total land area (km2),1656.14,Square kilometres
GRC,Greece,Athens,2013,Total land area (km2),1656.14,Square kilometres
GRC,Greece,Athens,2014,Total land area (km2),1656.14,Square kilometres
DEU,Germany,Berlin,2008,Total land area (km2),6176.37,Square kilometres
DEU,Germany,Berlin,2009,Total land area (km2),6176.37,Square kilometres
DEU,Germany,Berlin,2010,Total land area (km2),6176.37,Square kilometres
DEU,Germany,Berlin,2011,Total land area (km2),6176.37,Square kilometres
DEU,Germany,Berlin,2012,Total land area (km2),6176.37,Square kilometres
DEU,Germany,Berlin,2013,Total land area (km2),6176.37,Square kilometres
DEU,Germany,Berlin,2014,Total land area (km2),6176.37,Square kilometres
SVK,Slovakia,Bratislava,2008,Total land area (km2),2600.66,Square kilometres
SVK,Slovakia,Bratislava,2009,Total land area (km2),2600.66,Square kilometres
SVK,Slovakia,Bratislava,2010,Total land area (km2),2600.66,Square kilometres
SVK,Slovakia,Bratislava,2011,Total land area (km2),2600.66,Square kilometres
SVK,Slovakia,Bratislava,2012,Total land area (km2),2600.66,Square kilometres
SVK,Slovakia,Bratislava,2013,Total land area (km2),2600.66,Square kilometres
SVK,Slovakia,Bratislava,2014,Total land area (km2),2600.66,Square kilometres
BEL,Belgium,Brussels,2008,Total land area (km2),3265.70,Square kilometres
BEL,Belgium,Brussels,2009,Total land area (km2),3265.70,Square kilometres
BEL,Belgium,Brussels,2010,Total land area (km2),3265.70,Square kilometres
BEL,Belgium,Brussels,2011,Total land area (km2),3265.70,Square kilometres
BEL,Belgium,Brussels,2012,Total land area (km2),3265.70,Square kilometres
BEL,Belgium,Brussels,2013,Total land area (km2),3265.70,Square kilometres
BEL,Belgium,Brussels,2014,Total land area (km2),3265.70,Square kilometres
HUN,Hungary,Budapest,2008,Total land area (km2),6056.87,Square kilometres
HUN,Hungary,Budapest,2009,Total land area (km2),6056.87,Square kilometres
HUN,Hungary,Budapest,2010,Total land area (km2),6056.87,Square kilometres
HUN,Hungary,Budapest,2011,Total land area (km2),6056.87,Square kilometres
HUN,Hungary,Budapest,2012,Total land area (km2),6056.87,Square kilometres
HUN,Hungary,Budapest,2013,Total land area (km2),6056.87,Square kilometres
HUN,Hungary,Budapest,2014,Total land area (km2),6056.87,Square kilometres
DNK,Denmark,Copenhagen,2008,Total land area (km2),4083.69,Square kilometres
DNK,Denmark,Copenhagen,2009,Total land area (km2),4083.69,Square kilometres
DNK,Denmark,Copenhagen,2010,Total land area (km2),4083.69,Square kilometres
DNK,Denmark,Copenhagen,2011,Total land area (km2),4083.69,Square kilometres
DNK,Denmark,Copenhagen,2012,Total land area (km2),4083.69,Square kilometres
DNK,Denmark,Copenhagen,2013,Total land area (km2),4083.69,Square kilometres
DNK,Denmark,Copenhagen,2014,Total land area (km2),4083.69,Square kilometres
IRL,Ireland,Dublin,2008,Total land area (km2),4767.19,Square kilometres
IRL,Ireland,Dublin,2009,Total land area (km2),4767.19,Square kilometres
IRL,Ireland,Dublin,2010,Total land area (km2),4767.19,Square kilometres
IRL,Ireland,Dublin,2011,Total land area (km2),4767.19,Square kilometres
IRL,Ireland,Dublin,2012,Total land area (km2),4767.19,Square kilometres
IRL,Ireland,Dublin,2013,Total land area (km2),4767.19,Square kilometres
IRL,Ireland,Dublin,2014,Total land area (km2),4767.19,Square kilometres
FIN,Finland,Helsinki,2008,Total land area (km2),6350.71,Square kilometres
FIN,Finland,Helsinki,2009,Total land area (km2),6350.71,Square kilometres
FIN,Finland,Helsinki,2010,Total land area (km2),6350.71,Square kilometres
FIN,Finland,Helsinki,2011,Total land area (km2),6350.71,Square kilometres
FIN,Finland,Helsinki,2012,Total land area (km2),6350.71,Square kilometres
FIN,Finland,Helsinki,2013,Total land area (km2),6350.71,Square kilometres
FIN,Finland,Helsinki,2014,Total land area (km2),6350.71,Square kilometres
PRT,Portugal,Lisbon,2008,Total land area (km2),3988.31,Square kilometres
PRT,Portugal,Lisbon,2009,Total land area (km2),3988.31,Square kilometres
PRT,Portugal,Lisbon,2010,Total land area (km2),3988.31,Square kilometres
PRT,Portugal,Lisbon,2011,Total land area (km2),3988.31,Square kilometres
PRT,Portugal,Lisbon,2012,Total land area (km2),3988.31,Square kilometres
PRT,Portugal,Lisbon,2013,Total land area (km2),3988.31,Square kilometres
PRT,Portugal,Lisbon,2014,Total land area (km2),3988.31,Square kilometres
SVN,Slovenia,Ljubljana,2008,Total land area (km2),3145.03,Square kilometres
SVN,Slovenia,Ljubljana,2009,Total land area (km2),3145.03,Square kilometres
SVN,Slovenia,Ljubljana,2010,Total land area (km2),3145.03,Square kilometres
SVN,Slovenia,Ljubljana,2011,Total land area (km2),3145.03,Square kilometres
SVN,Slovenia,Ljubljana,2012,Total land area (km2),3145.03,Square kilometres
SVN,Slovenia,Ljubljana,2013,Total land area (km2),3145.03,Square kilometres
SVN,Slovenia,Ljubljana,2014,Total land area (km2),3145.03,Square kilometres
GBR,United Kingdom,London,2008,Total land area (km2),6920.87,Square kilometres
GBR,United Kingdom,London,2009,Total land area (km2),6920.87,Square kilometres
GBR,United Kingdom,London,2010,Total land area (km2),6920.87,Square kilometres
GBR,United Kingdom,London,2011,Total land area (km2),6920.87,Square kilometres
GBR,United Kingdom,London,2012,Total land area (km2),6920.87,Square kilometres
GBR,United Kingdom,London,2013,Total land area (km2),6920.87,Square kilometres
GBR,United Kingdom,London,2014,Total land area (km2),6920.87,Square kilometres
ESP,Spain,Madrid,2008,Total land area (km2),11537.63,Square kilometres
ESP,Spain,Madrid,2009,Total land area (km2),11537.63,Square kilometres
ESP,Spain,Madrid,2010,Total land area (km2),11537.63,Square kilometres
ESP,Spain,Madrid,2011,Total land area (km2),11537.63,Square kilometres
ESP,Spain,Madrid,2012,Total land area (km2),11537.63,Square kilometres
ESP,Spain,Madrid,2013,Total land area (km2),11537.63,Square kilometres
ESP,Spain,Madrid,2014,Total land area (km2),11537.63,Square kilometres
NOR,Norway,Oslo,2008,Total land area (km2),7099.16,Square kilometres
NOR,Norway,Oslo,2009,Total land area (km2),7099.16,Square kilometres
NOR,Norway,Oslo,2010,Total land area (km2),7099.16,Square kilometres
NOR,Norway,Oslo,2011,Total land area (km2),7099.16,Square kilometres
NOR,Norway,Oslo,2012,Total land area (km2),7099.16,Square kilometres
NOR,Norway,Oslo,2013,Total land area (km2),7099.16,Square kilometres
NOR,Norway,Oslo,2014,Total land area (km2),7099.16,Square kilometres
FRA,France,Paris,2008,Total land area (km2),12089.37,Square kilometres
FRA,France,Paris,2009,Total land area (km2),12089.37,Square kilometres
FRA,France,Paris,2010,Total land area (km2),12089.37,Square kilometres
FRA,France,Paris,2011,Total land area (km2),12089.37,Square kilometres
FRA,France,Paris,2012,Total land area (km2),12089.37,Square kilometres
FRA,France,Paris,2013,Total land area (km2),12089.37,Square kilometres
FRA,France,Paris,2014,Total land area (km2),12089.37,Square kilometres
CZE,Czech Republic,Prague,2008,Total land area (km2),3929.04,Square kilometres
CZE,Czech Republic,Prague,2009,Total land area (km2),3929.04,Square kilometres
CZE,Czech Republic,Prague,2010,Total land area (km2),3929.04,Square kilometres
CZE,Czech Republic,Prague,2011,Total land area (km2),3929.04,Square kilometres
CZE,Czech Republic,Prague,2012,Total land area (km2),3929.04,Square kilometres
CZE,Czech Republic,Prague,2013,Total land area (km2),3929.04,Square kilometres
CZE,Czech Republic,Prague,2014,Total land area (km2),3929.04,Square kilometres
ITA,Italy,Rome,2008,Total land area (km2),5686.46,Square kilometres
ITA,Italy,Rome,2009,Total land area (km2),5686.46,Square kilometres
ITA,Italy,Rome,2010,Total land area (km2),5686.46,Square kilometres
ITA,Italy,Rome,2011,Total land area (km2),5686.46,Square kilometres
ITA,Italy,Rome,2012,Total land area (km2),5686.46,Square kilometres
ITA,Italy,Rome,2013,Total land area (km2),5686.46,Square kilometres
ITA,Italy,Rome,2014,Total land area (km2),5686.46,Square kilometres
SWE,Sweden,Stockholm,2008,Total land area (km2),7106.87,Square kilometres
SWE,Sweden,Stockholm,2009,Total land area (km2),7106.87,Square kilometres
SWE,Sweden,Stockholm,2010,Total land area (km2),7106.87,Square kilometres
SWE,Sweden,Stockholm,2011,Total land area (km2),7106.87,Square kilometres
SWE,Sweden,Stockholm,2012,Total land area (km2),7106.87,Square kilometres
SWE,Sweden,Stockholm,2013,Total land area (km2),7106.87,Square kilometres
SWE,Sweden,Stockholm,2014,Total land area (km2),7106.87,Square kilometres
EST,Estionia,Tallinn,2008,Total land area (km2),4326.30,Square kilometres
EST,Estionia,Tallinn,2009,Total land area (km2),4326.30,Square kilometres
EST,Estionia,Tallinn,2010,Total land area (km2),4326.30,Square kilometres
EST,Estionia,Tallinn,2011,Total land area (km2),4326.30,Square kilometres
EST,Estionia,Tallinn,2012,Total land area (km2),4326.30,Square kilometres
EST,Estionia,Tallinn,2013,Total land area (km2),4326.30,Square kilometres
EST,Estionia,Tallinn,2014,Total land area (km2),4326.30,Square kilometres
AUT,Austria,Vienna,2008,Total land area (km2),9093.06,Square kilometres
AUT,Austria,Vienna,2009,Total land area (km2),9093.06,Square kilometres
AUT,Austria,Vienna,2010,Total land area (km2),9093.06,Square kilometres
AUT,Austria,Vienna,2011,Total land area (km2),9093.06,Square kilometres
AUT,Austria,Vienna,2012,Total land area (km2),9093.06,Square kilometres
AUT,Austria,Vienna,2013,Total land area (km2),9093.06,Square kilometres
AUT,Austria,Vienna,2014,Total land area (km2),9093.06,Square kilometres
POL,Poland,Warsaw,2008,Total land area (km2),8611.73,Square kilometres
POL,Poland,Warsaw,2009,Total land area (km2),8611.73,Square kilometres
POL,Poland,Warsaw,2010,Total land area (km2),8611.73,Square kilometres
POL,Poland,Warsaw,2011,Total land area (km2),8611.73,Square kilometres
POL,Poland,Warsaw,2012,Total land area (km2),8611.73,Square kilometres
POL,Poland,Warsaw,2013,Total land area (km2),8611.73,Square kilometres
POL,Poland,Warsaw,2014,Total land area (km2),8611.73,Square kilometres
NLD,The Netherlands,Amsterdam,2008,Population of the city area (persons),1598799.00,Persons
NLD,The Netherlands,Amsterdam,2009,Population of the city area (persons),1616708.00,Persons
NLD,The Netherlands,Amsterdam,2010,Population of the city area (persons),1634921.00,Persons
NLD,The Netherlands,Amsterdam,2011,Population of the city area (persons),1653446.00,Persons
NLD,The Netherlands,Amsterdam,2012,Population of the city area (persons),1672289.00,Persons
NLD,The Netherlands,Amsterdam,2013,Population of the city area (persons),1691458.00,Persons
NLD,The Netherlands,Amsterdam,2014,Population of the city area (persons),1710959.00,Persons
GRC,Greece,Athens,2008,Population of the city area (persons),2833464.00,Persons
GRC,Greece,Athens,2009,Population of the city area (persons),2812964.00,Persons
GRC,Greece,Athens,2010,Population of the city area (persons),2792808.00,Persons
GRC,Greece,Athens,2011,Population of the city area (persons),2772998.00,Persons
GRC,Greece,Athens,2012,Population of the city area (persons),2753530.00,Persons
GRC,Greece,Athens,2013,Population of the city area (persons),2734398.00,Persons
GRC,Greece,Athens,2014,Population of the city area (persons),2715595.00,Persons
DEU,Germany,Berlin,2008,Population of the city area (persons),3492327.00,Persons
DEU,Germany,Berlin,2009,Population of the city area (persons),3488114.00,Persons
DEU,Germany,Berlin,2010,Population of the city area (persons),3483939.00,Persons
DEU,Germany,Berlin,2011,Population of the city area (persons),3479801.00,Persons
DEU,Germany,Berlin,2012,Population of the city area (persons),3475702.00,Persons
DEU,Germany,Berlin,2013,Population of the city area (persons),3471639.00,Persons
DEU,Germany,Berlin,2014,Population of the city area (persons),3467616.00,Persons
SVK,Slovakia,Bratislava,2008,Population of the city area (persons),430125.00,Persons
SVK,Slovakia,Bratislava,2009,Population of the city area (persons),430413.00,Persons
SVK,Slovakia,Bratislava,2010,Population of the city area (persons),430727.00,Persons
SVK,Slovakia,Bratislava,2011,Population of the city area (persons),431061.00,Persons
SVK,Slovakia,Bratislava,2012,Population of the city area (persons),431418.00,Persons
SVK,Slovakia,Bratislava,2013,Population of the city area (persons),431800.00,Persons
SVK,Slovakia,Bratislava,2014,Population of the city area (persons),432204.00,Persons
BEL,Belgium,Brussels,2008,Population of the city area (persons),1072954.00,Persons
BEL,Belgium,Brussels,2009,Population of the city area (persons),1088083.00,Persons
BEL,Belgium,Brussels,2010,Population of the city area (persons),1103463.00,Persons
BEL,Belgium,Brussels,2011,Population of the city area (persons),1119088.00,Persons
BEL,Belgium,Brussels,2012,Population of the city area (persons),1134967.00,Persons
BEL,Belgium,Brussels,2013,Population of the city area (persons),1151105.00,Persons
BEL,Belgium,Brussels,2014,Population of the city area (persons),1167508.00,Persons
HUN,Hungary,Budapest,2008,Population of the city area (persons),1731664.00,Persons
HUN,Hungary,Budapest,2009,Population of the city area (persons),1725155.00,Persons
HUN,Hungary,Budapest,2010,Population of the city area (persons),1718670.00,Persons
HUN,Hungary,Budapest,2011,Population of the city area (persons),1712210.00,Persons
HUN,Hungary,Budapest,2012,Population of the city area (persons),1705774.00,Persons
HUN,Hungary,Budapest,2013,Population of the city area (persons),1699362.00,Persons
HUN,Hungary,Budapest,2014,Population of the city area (persons),1692974.00,Persons
DNK,Denmark,Copenhagen,2008,Population of the city area (persons),1184710.00,Persons
DNK,Denmark,Copenhagen,2009,Population of the city area (persons),1190453.00,Persons
DNK,Denmark,Copenhagen,2010,Population of the city area (persons),1196241.00,Persons
DNK,Denmark,Copenhagen,2011,Population of the city area (persons),1202066.00,Persons
DNK,Denmark,Copenhagen,2012,Population of the city area (persons),1207937.00,Persons
DNK,Denmark,Copenhagen,2013,Population of the city area (persons),1213848.00,Persons
DNK,Denmark,Copenhagen,2014,Population of the city area (persons),1219803.00,Persons
IRL,Ireland,Dublin,2008,Population of the city area (persons),1201817.00,Persons
IRL,Ireland,Dublin,2009,Population of the city area (persons),1223564.00,Persons
IRL,Ireland,Dublin,2010,Population of the city area (persons),1247230.00,Persons
IRL,Ireland,Dublin,2011,Population of the city area (persons),1273069.00,Persons
IRL,Ireland,Dublin,2012,Population of the city area (persons),1301401.00,Persons
IRL,Ireland,Dublin,2013,Population of the city area (persons),1332615.00,Persons
IRL,Ireland,Dublin,2014,Population of the city area (persons),1367174.00,Persons
FIN,Finland,Helsinki,2008,Population of the city area (persons),1003386.00,Persons
FIN,Finland,Helsinki,2009,Population of the city area (persons),1009558.00,Persons
FIN,Finland,Helsinki,2010,Population of the city area (persons),1015781.00,Persons
FIN,Finland,Helsinki,2011,Population of the city area (persons),1022053.00,Persons
FIN,Finland,Helsinki,2012,Population of the city area (persons),1028376.00,Persons
FIN,Finland,Helsinki,2013,Population of the city area (persons),1034751.00,Persons
FIN,Finland,Helsinki,2014,Population of the city area (persons),1041177.00,Persons
PRT,Portugal,Lisbon,2008,Population of the city area (persons),2342890.00,Persons
PRT,Portugal,Lisbon,2009,Population of the city area (persons),2353624.00,Persons
PRT,Portugal,Lisbon,2010,Population of the city area (persons),2364938.00,Persons
PRT,Portugal,Lisbon,2011,Population of the city area (persons),2376855.00,Persons
PRT,Portugal,Lisbon,2012,Population of the city area (persons),2389404.00,Persons
PRT,Portugal,Lisbon,2013,Population of the city area (persons),2402603.00,Persons
PRT,Portugal,Lisbon,2014,Population of the city area (persons),2416489.00,Persons
SVN,Slovenia,Ljubljana,2008,Population of the city area (persons),273502.00,Persons
SVN,Slovenia,Ljubljana,2009,Population of the city area (persons),274794.00,Persons
SVN,Slovenia,Ljubljana,2010,Population of the city area (persons),276091.00,Persons
SVN,Slovenia,Ljubljana,2011,Population of the city area (persons),277395.00,Persons
SVN,Slovenia,Ljubljana,2012,Population of the city area (persons),278705.00,Persons
SVN,Slovenia,Ljubljana,2013,Population of the city area (persons),280021.00,Persons
SVN,Slovenia,Ljubljana,2014,Population of the city area (persons),281343.00,Persons
GBR,United Kingdom,London,2008,Population of the city area (persons),9174745.00,Persons
GBR,United Kingdom,London,2009,Population of the city area (persons),9295645.00,Persons
GBR,United Kingdom,London,2010,Population of the city area (persons),9419238.00,Persons
GBR,United Kingdom,London,2011,Population of the city area (persons),9545591.00,Persons
GBR,United Kingdom,London,2012,Population of the city area (persons),9674819.00,Persons
GBR,United Kingdom,London,2013,Population of the city area (persons),9807029.00,Persons
GBR,United Kingdom,London,2014,Population of the city area (persons),9942283.00,Persons
ESP,Spain,Madrid,2008,Population of the city area (persons),4922914.00,Persons
ESP,Spain,Madrid,2009,Population of the city area (persons),4977518.00,Persons
ESP,Spain,Madrid,2010,Population of the city area (persons),5033012.00,Persons
ESP,Spain,Madrid,2011,Population of the city area (persons),5089414.00,Persons
ESP,Spain,Madrid,2012,Population of the city area (persons),5146746.00,Persons
ESP,Spain,Madrid,2013,Population of the city area (persons),5205036.00,Persons
ESP,Spain,Madrid,2014,Population of the city area (persons),5264307.00,Persons
NOR,Norway,Oslo,2008,Population of the city area (persons),573782.00,Persons
NOR,Norway,Oslo,2009,Population of the city area (persons),583181.00,Persons
NOR,Norway,Oslo,2010,Population of the city area (persons),592735.00,Persons
NOR,Norway,Oslo,2011,Population of the city area (persons),602445.00,Persons
NOR,Norway,Oslo,2012,Population of the city area (persons),612314.00,Persons
NOR,Norway,Oslo,2013,Population of the city area (persons),622345.00,Persons
NOR,Norway,Oslo,2014,Population of the city area (persons),632540.00,Persons
FRA,France,Paris,2008,Population of the city area (persons),9156338.00,Persons
FRA,France,Paris,2009,Population of the city area (persons),9217207.00,Persons
FRA,France,Paris,2010,Population of the city area (persons),9278758.00,Persons
FRA,France,Paris,2011,Population of the city area (persons),9341009.00,Persons
FRA,France,Paris,2012,Population of the city area (persons),9403955.00,Persons
FRA,France,Paris,2013,Population of the city area (persons),9467624.00,Persons
FRA,France,Paris,2014,Population of the city area (persons),9532016.00,Persons
CZE,Czech Republic,Prague,2008,Population of the city area (persons),1288845.00,Persons
CZE,Czech Republic,Prague,2009,Population of the city area (persons),1295959.00,Persons
CZE,Czech Republic,Prague,2010,Population of the city area (persons),1303117.00,Persons
CZE,Czech Republic,Prague,2011,Population of the city area (persons),1310318.00,Persons
