countrycode,country,city,year,subject,value
NLD,The Netherlands,Amsterdam,2007,Number of live births per year,-
NLD,The Netherlands,Amsterdam,2008,Number of live births per year,-
NLD,The Netherlands,Amsterdam,2009,Number of live births per year,-
NLD,The Netherlands,Amsterdam,2010,Number of live births per year,-
NLD,The Netherlands,Amsterdam,2011,Number of live births per year,-
NLD,The Netherlands,Amsterdam,2012,Number of live births per year,10992
NLD,The Netherlands,Amsterdam,2013,Number of live births per year,11063
NLD,The Netherlands,Amsterdam,2014,Number of live births per year,10703
NLD,The Netherlands,Amsterdam,2015,Number of live births per year,-
NLD,The Netherlands,Amsterdam,2016,Number of live births per year,-
TUR,Turkey,Ankara,2007,Number of live births per year,-
TUR,Turkey,Ankara,2008,Number of live births per year,-
TUR,Turkey,Ankara,2009,Number of live births per year,-
TUR,Turkey,Ankara,2010,Number of live births per year,-
TUR,Turkey,Ankara,2011,Number of live births per year,-
TUR,Turkey,Ankara,2012,Number of live births per year,-
TUR,Turkey,Ankara,2013,Number of live births per year,-
TUR,Turkey,Ankara,2014,Number of live births per year,-
TUR,Turkey,Ankara,2015,Number of live births per year,-
TUR,Turkey,Ankara,2016,Number of live births per year,-
GRC,Greece,Athens,2007,Number of live births per year,16812
GRC,Greece,Athens,2008,Number of live births per year,17486
GRC,Greece,Athens,2009,Number of live births per year,18155
GRC,Greece,Athens,2010,Number of live births per year,-
GRC,Greece,Athens,2011,Number of live births per year,19019
GRC,Greece,Athens,2012,Number of live births per year,14755
GRC,Greece,Athens,2013,Number of live births per year,12789
GRC,Greece,Athens,2014,Number of live births per year,-
GRC,Greece,Athens,2015,Number of live births per year,-
GRC,Greece,Athens,2016,Number of live births per year,-
DEU,Germany,Berlin,2007,Number of live births per year,31174
DEU,Germany,Berlin,2008,Number of live births per year,31936
DEU,Germany,Berlin,2009,Number of live births per year,32104
DEU,Germany,Berlin,2010,Number of live births per year,33393
DEU,Germany,Berlin,2011,Number of live births per year,33075
DEU,Germany,Berlin,2012,Number of live births per year,34678
DEU,Germany,Berlin,2013,Number of live births per year,35038
DEU,Germany,Berlin,2014,Number of live births per year,37368
DEU,Germany,Berlin,2015,Number of live births per year,38030
DEU,Germany,Berlin,2016,Number of live births per year,-
CHE,Switzerland,Bern,2007,Number of live births per year,1297
CHE,Switzerland,Bern,2008,Number of live births per year,1312
CHE,Switzerland,Bern,2009,Number of live births per year,1409
CHE,Switzerland,Bern,2010,Number of live births per year,1456
CHE,Switzerland,Bern,2011,Number of live births per year,1426
CHE,Switzerland,Bern,2012,Number of live births per year,1491
CHE,Switzerland,Bern,2013,Number of live births per year,1457
CHE,Switzerland,Bern,2014,Number of live births per year,1514
CHE,Switzerland,Bern,2015,Number of live births per year,1670
CHE,Switzerland,Bern,2016,Number of live births per year,1653
SVK,Slovakia,Bratislava,2007,Number of live births per year,4317
SVK,Slovakia,Bratislava,2008,Number of live births per year,4688
SVK,Slovakia,Bratislava,2009,Number of live births per year,5052
SVK,Slovakia,Bratislava,2010,Number of live births per year,5163
SVK,Slovakia,Bratislava,2011,Number of live births per year,5356
SVK,Slovakia,Bratislava,2012,Number of live births per year,5088
SVK,Slovakia,Bratislava,2013,Number of live births per year,-
SVK,Slovakia,Bratislava,2014,Number of live births per year,-
SVK,Slovakia,Bratislava,2015,Number of live births per year,-
SVK,Slovakia,Bratislava,2016,Number of live births per year,-
BEL,Belgium,Brussels,2007,Number of live births per year,16161
BEL,Belgium,Brussels,2008,Number of live births per year,17730
BEL,Belgium,Brussels,2009,Number of live births per year,18176
BEL,Belgium,Brussels,2010,Number of live births per year,18612
BEL,Belgium,Brussels,2011,Number of live births per year,18301
BEL,Belgium,Brussels,2012,Number of live births per year,-
BEL,Belgium,Brussels,2013,Number of live births per year,18408
BEL,Belgium,Brussels,2014,Number of live births per year,18594
BEL,Belgium,Brussels,2015,Number of live births per year,18312
BEL,Belgium,Brussels,2016,Number of live births per year,18017
ROU,Romania,Bucharest,2007,Number of live births per year,19232
ROU,Romania,Bucharest,2008,Number of live births per year,20590
ROU,Romania,Bucharest,2009,Number of live births per year,21447
ROU,Romania,Bucharest,2010,Number of live births per year,21147
ROU,Romania,Bucharest,2011,Number of live births per year,19103
ROU,Romania,Bucharest,2012,Number of live births per year,17937
ROU,Romania,Bucharest,2013,Number of live births per year,17823
ROU,Romania,Bucharest,2014,Number of live births per year,9183
ROU,Romania,Bucharest,2015,Number of live births per year,19197
ROU,Romania,Bucharest,2016,Number of live births per year,19549
HUN,Hungary,Budapest,2007,Number of live births per year,16957
HUN,Hungary,Budapest,2008,Number of live births per year,17270
HUN,Hungary,Budapest,2009,Number of live births per year,21995
HUN,Hungary,Budapest,2010,Number of live births per year,16458
HUN,Hungary,Budapest,2011,Number of live births per year,16029
HUN,Hungary,Budapest,2012,Number of live births per year,16507
HUN,Hungary,Budapest,2013,Number of live births per year,16001
HUN,Hungary,Budapest,2014,Number of live births per year,16048
HUN,Hungary,Budapest,2015,Number of live births per year,16086
HUN,Hungary,Budapest,2016,Number of live births per year,-
DNK,Denmark,Copenhagen,2007,Number of live births per year,-
DNK,Denmark,Copenhagen,2008,Number of live births per year,-
DNK,Denmark,Copenhagen,2009,Number of live births per year,-
DNK,Denmark,Copenhagen,2010,Number of live births per year,9319
DNK,Denmark,Copenhagen,2011,Number of live births per year,9054
DNK,Denmark,Copenhagen,2012,Number of live births per year,9076
DNK,Denmark,Copenhagen,2013,Number of live births per year,-
DNK,Denmark,Copenhagen,2014,Number of live births per year,-
DNK,Denmark,Copenhagen,2015,Number of live births per year,-
DNK,Denmark,Copenhagen,2016,Number of live births per year,-
IRL,Ireland,Dublin,2007,Number of live births per year,-
IRL,Ireland,Dublin,2008,Number of live births per year,-
IRL,Ireland,Dublin,2009,Number of live births per year,-
IRL,Ireland,Dublin,2010,Number of live births per year,-
IRL,Ireland,Dublin,2011,Number of live births per year,8131
IRL,Ireland,Dublin,2012,Number of live births per year,-
IRL,Ireland,Dublin,2013,Number of live births per year,-
IRL,Ireland,Dublin,2014,Number of live births per year,-
IRL,Ireland,Dublin,2015,Number of live births per year,-
IRL,Ireland,Dublin,2016,Number of live births per year,-
FIN,Finland,Helsinki,2007,Number of live births per year,-
FIN,Finland,Helsinki,2008,Number of live births per year,-
FIN,Finland,Helsinki,2009,Number of live births per year,-
FIN,Finland,Helsinki,2010,Number of live births per year,6709
FIN,Finland,Helsinki,2011,Number of live births per year,6619
FIN,Finland,Helsinki,2012,Number of live births per year,6748
FIN,Finland,Helsinki,2013,Number of live births per year,6789
FIN,Finland,Helsinki,2014,Number of live births per year,6907
FIN,Finland,Helsinki,2015,Number of live births per year,7016
FIN,Finland,Helsinki,2016,Number of live births per year,6803
CYP,Cyprus,Lefkosia,2007,Number of live births per year,-
CYP,Cyprus,Lefkosia,2008,Number of live births per year,-
CYP,Cyprus,Lefkosia,2009,Number of live births per year,-
CYP,Cyprus,Lefkosia,2010,Number of live births per year,-
CYP,Cyprus,Lefkosia,2011,Number of live births per year,-
CYP,Cyprus,Lefkosia,2012,Number of live births per year,-
CYP,Cyprus,Lefkosia,2013,Number of live births per year,-
CYP,Cyprus,Lefkosia,2014,Number of live births per year,-
CYP,Cyprus,Lefkosia,2015,Number of live births per year,-
CYP,Cyprus,Lefkosia,2016,Number of live births per year,2569
PRT,Portugal,Lisbon,2007,Number of live births per year,5697
PRT,Portugal,Lisbon,2008,Number of live births per year,6041
PRT,Portugal,Lisbon,2009,Number of live births per year,6220
