countrycode,country,city,year,subject,value,unit
NLD,The Netherlands,Amsterdam,2008,Total population of the metropolitan area (persons),"2,317,340.00",Persons
NLD,The Netherlands,Amsterdam,2008,Population density (persons per km2),821.8,Ratio
NLD,The Netherlands,Amsterdam,2008,Total land area (km2),"2,819.84",Square kilometres
NLD,The Netherlands,Amsterdam,2008,GDP (millions US$),"122,421.22",US Dollar
NLD,The Netherlands,Amsterdam,2008,GDP of the metropolitan area as a share of national value (%),16.01,Percentage
NLD,The Netherlands,Amsterdam,2008,GDP per capita (US$),"52,828.34",US Dollar
NLD,The Netherlands,Amsterdam,2008,CO2 emissions per capita  (tonnes per inhabitant),15.06,Tonnes
NLD,The Netherlands,Amsterdam,2008,Estimated average exposure to air pollution (PM2.5) based on imagery data,14.85,Micrograms per cubic metre
NLD,The Netherlands,Amsterdam,2008,Employment (persons),"1,235,673.00",Persons
NLD,The Netherlands,Amsterdam,2008,Employment of the metropolitan area as a share of national value (%),14.38,Percentage
NLD,The Netherlands,Amsterdam,2008,Unemployment (persons),"33,765.00",Persons
NLD,The Netherlands,Amsterdam,2008,Unemployment of the metropolitan area as a share of national value (%),13.9,Percentage
NLD,The Netherlands,Amsterdam,2008,CO2 emissions per capita from energy industry (tonnes per inhabitant),6.34,Tonnes
NLD,The Netherlands,Amsterdam,2008,CO2 transport emissions of the metropolitan area as a share of the national transport emissions from transport (%),15.14,Percentage
NLD,The Netherlands,Amsterdam,2008,CO2 emissions per capita from transport (tonnes per inhabitant),2.05,Tonnes
NLD,The Netherlands,Amsterdam,2008,Metropolitan land share of national value (%),8.35,Percentage
NLD,The Netherlands,Amsterdam,2008,CO2 energy emissions of the metropolitan area as a share of the national energy industry emissions (%),27.1,Percentage
NLD,The Netherlands,Amsterdam,2008,Green area per million people (square meters per million person),219.26,Ratio
NLD,The Netherlands,Amsterdam,2008,Population of the city area (persons),"1,598,799.00",Persons
NLD,The Netherlands,Amsterdam,2008,Labour productivity,"99,072.50",US Dollar
NLD,The Netherlands,Amsterdam,2008,Population density of the city area (persons per km2),"1,639.98",Ratio
NLD,The Netherlands,Amsterdam,2008,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2008,CO2 emissions of the metropolitan area as a share of national value (%),20.28,Percentage
NLD,The Netherlands,Amsterdam,2009,Total population of the metropolitan area (persons),"2,338,971.00",Persons
NLD,The Netherlands,Amsterdam,2009,Population density (persons per km2),829.47,Ratio
NLD,The Netherlands,Amsterdam,2009,Total land area (km2),"2,819.84",Square kilometres
NLD,The Netherlands,Amsterdam,2009,GDP (millions US$),"119,497.30",US Dollar
NLD,The Netherlands,Amsterdam,2009,GDP of the metropolitan area as a share of national value (%),16.25,Percentage
NLD,The Netherlands,Amsterdam,2009,GDP per capita (US$),"51,089.69",US Dollar
NLD,The Netherlands,Amsterdam,2009,Employment (persons),"1,249,270.00",Persons
NLD,The Netherlands,Amsterdam,2009,Employment of the metropolitan area as a share of national value (%),14.53,Percentage
NLD,The Netherlands,Amsterdam,2009,Unemployment (persons),"42,641.00",Persons
NLD,The Netherlands,Amsterdam,2009,Unemployment of the metropolitan area as a share of national value (%),14.04,Percentage
NLD,The Netherlands,Amsterdam,2009,Metropolitan land share of national value (%),8.35,Percentage
NLD,The Netherlands,Amsterdam,2009,Green area per million people (square meters per million person),217.23,Ratio
NLD,The Netherlands,Amsterdam,2009,Population of the city area (persons),"1,616,708.00",Persons
NLD,The Netherlands,Amsterdam,2009,Labour productivity,"95,653.71",US Dollar
NLD,The Netherlands,Amsterdam,2009,Population density of the city area (persons per km2),"1,658.35",Ratio
NLD,The Netherlands,Amsterdam,2009,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2010,Total population of the metropolitan area (persons),"2,360,958.00",Persons
NLD,The Netherlands,Amsterdam,2010,Population density (persons per km2),837.27,Ratio
NLD,The Netherlands,Amsterdam,2010,Total land area (km2),"2,819.84",Square kilometres
NLD,The Netherlands,Amsterdam,2010,GDP (millions US$),"121,978.18",US Dollar
NLD,The Netherlands,Amsterdam,2010,GDP of the metropolitan area as a share of national value (%),16.41,Percentage
NLD,The Netherlands,Amsterdam,2010,GDP per capita (US$),"51,664.70",US Dollar
NLD,The Netherlands,Amsterdam,2010,Employment (persons),"1,209,822.00",Persons
NLD,The Netherlands,Amsterdam,2010,Employment of the metropolitan area as a share of national value (%),14.45,Percentage
NLD,The Netherlands,Amsterdam,2010,Unemployment (persons),"54,971.00",Persons
NLD,The Netherlands,Amsterdam,2010,Unemployment of the metropolitan area as a share of national value (%),14.1,Percentage
NLD,The Netherlands,Amsterdam,2010,Metropolitan land share of national value (%),8.35,Percentage
NLD,The Netherlands,Amsterdam,2010,Green area per million people (square meters per million person),215.21,Ratio
NLD,The Netherlands,Amsterdam,2010,Population of the city area (persons),"1,634,921.00",Persons
NLD,The Netherlands,Amsterdam,2010,Labour productivity,"100,823.25",US Dollar
NLD,The Netherlands,Amsterdam,2010,Population density of the city area (persons per km2),"1,677.03",Ratio
NLD,The Netherlands,Amsterdam,2010,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2011,Total population of the metropolitan area (persons),"2,383,313.00",Persons
NLD,The Netherlands,Amsterdam,2011,Population density (persons per km2),845.19,Ratio
NLD,The Netherlands,Amsterdam,2011,Total land area (km2),"2,819.84",Square kilometres
NLD,The Netherlands,Amsterdam,2011,GDP (millions US$),"123,365.89",US Dollar
NLD,The Netherlands,Amsterdam,2011,GDP of the metropolitan area as a share of national value (%),16.32,Percentage
NLD,The Netherlands,Amsterdam,2011,GDP per capita (US$),"51,762.35",US Dollar
NLD,The Netherlands,Amsterdam,2011,Estimated average exposure to air pollution (PM2.5) based on imagery data,15.27,Micrograms per cubic metre
NLD,The Netherlands,Amsterdam,2011,Employment (persons),"1,204,976.00",Persons
NLD,The Netherlands,Amsterdam,2011,Employment of the metropolitan area as a share of national value (%),14.53,Percentage
NLD,The Netherlands,Amsterdam,2011,Unemployment (persons),"63,632.00",Persons
NLD,The Netherlands,Amsterdam,2011,Unemployment of the metropolitan area as a share of national value (%),14.65,Percentage
NLD,The Netherlands,Amsterdam,2011,Metropolitan land share of national value (%),8.35,Percentage
NLD,The Netherlands,Amsterdam,2011,Green area per million people (square meters per million person),213.19,Ratio
NLD,The Netherlands,Amsterdam,2011,Population of the city area (persons),"1,653,446.00",Persons
NLD,The Netherlands,Amsterdam,2011,Labour productivity,"102,380.37",US Dollar
NLD,The Netherlands,Amsterdam,2011,Population density of the city area (persons per km2),"1,696.03",Ratio
NLD,The Netherlands,Amsterdam,2011,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2012,Total population of the metropolitan area (persons),"2,406,043.00",Persons
NLD,The Netherlands,Amsterdam,2012,Population density (persons per km2),853.26,Ratio
NLD,The Netherlands,Amsterdam,2012,Total land area (km2),"2,819.84",Square kilometres
NLD,The Netherlands,Amsterdam,2012,GDP (millions US$),"121,289.27",US Dollar
NLD,The Netherlands,Amsterdam,2012,GDP of the metropolitan area as a share of national value (%),16.31,Percentage
NLD,The Netherlands,Amsterdam,2012,GDP per capita (US$),"50,410.27",US Dollar
NLD,The Netherlands,Amsterdam,2012,Employment (persons),"1,221,002.00",Persons
NLD,The Netherlands,Amsterdam,2012,Employment of the metropolitan area as a share of national value (%),14.63,Percentage
NLD,The Netherlands,Amsterdam,2012,Unemployment (persons),"73,974.00",Persons
NLD,The Netherlands,Amsterdam,2012,Unemployment of the metropolitan area as a share of national value (%),14.34,Percentage
NLD,The Netherlands,Amsterdam,2012,Metropolitan land share of national value (%),8.36,Percentage
NLD,The Netherlands,Amsterdam,2012,Green area per million people (square meters per million person),211.18,Ratio
NLD,The Netherlands,Amsterdam,2012,Population of the city area (persons),"1,672,289.00",Persons
NLD,The Netherlands,Amsterdam,2012,Labour productivity,"99,335.85",US Dollar
NLD,The Netherlands,Amsterdam,2012,Population density of the city area (persons per km2),"1,715.36",Ratio
