countrycode,country,city,year,subject,value,unit
NLD,The Netherlands,Amsterdam,2008,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2009,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2010,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2011,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2012,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2013,Total land area of the city (km2),974.89,Square kilometres
NLD,The Netherlands,Amsterdam,2014,Total land area of the city (km2),974.89,Square kilometres
GRC,Greece,Athens,2008,Total land area of the city (km2),370.01,Square kilometres
GRC,Greece,Athens,2009,Total land area of the city (km2),370.01,Square kilometres
GRC,Greece,Athens,2010,Total land area of the city (km2),370.01,Square kilometres
GRC,Greece,Athens,2011,Total land area of the city (km2),370.01,Square kilometres
GRC,Greece,Athens,2012,Total land area of the city (km2),370.01,Square kilometres
GRC,Greece,Athens,2013,Total land area of the city (km2),370.01,Square kilometres
GRC,Greece,Athens,2014,Total land area of the city (km2),370.01,Square kilometres
DEU,Germany,Berlin,2008,Total land area of the city (km2),1024.1,Square kilometres
DEU,Germany,Berlin,2009,Total land area of the city (km2),1024.1,Square kilometres
DEU,Germany,Berlin,2010,Total land area of the city (km2),1024.1,Square kilometres
DEU,Germany,Berlin,2011,Total land area of the city (km2),1024.1,Square kilometres
DEU,Germany,Berlin,2012,Total land area of the city (km2),1024.1,Square kilometres
DEU,Germany,Berlin,2013,Total land area of the city (km2),1024.1,Square kilometres
DEU,Germany,Berlin,2014,Total land area of the city (km2),1024.1,Square kilometres
SVK,Slovakia,Bratislava,2008,Total land area of the city (km2),362.32,Square kilometres
SVK,Slovakia,Bratislava,2009,Total land area of the city (km2),362.32,Square kilometres
SVK,Slovakia,Bratislava,2010,Total land area of the city (km2),362.32,Square kilometres
SVK,Slovakia,Bratislava,2011,Total land area of the city (km2),362.32,Square kilometres
SVK,Slovakia,Bratislava,2012,Total land area of the city (km2),362.32,Square kilometres
SVK,Slovakia,Bratislava,2013,Total land area of the city (km2),362.32,Square kilometres
SVK,Slovakia,Bratislava,2014,Total land area of the city (km2),362.32,Square kilometres
BEL,Belgium,Brussels,2008,Total land area of the city (km2),162.47,Square kilometres
BEL,Belgium,Brussels,2009,Total land area of the city (km2),162.47,Square kilometres
BEL,Belgium,Brussels,2010,Total land area of the city (km2),162.47,Square kilometres
BEL,Belgium,Brussels,2011,Total land area of the city (km2),162.47,Square kilometres
BEL,Belgium,Brussels,2012,Total land area of the city (km2),162.47,Square kilometres
BEL,Belgium,Brussels,2013,Total land area of the city (km2),162.47,Square kilometres
BEL,Belgium,Brussels,2014,Total land area of the city (km2),162.47,Square kilometres
HUN,Hungary,Budapest,2008,Total land area of the city (km2),525.18,Square kilometres
HUN,Hungary,Budapest,2009,Total land area of the city (km2),525.18,Square kilometres
HUN,Hungary,Budapest,2010,Total land area of the city (km2),525.18,Square kilometres
HUN,Hungary,Budapest,2011,Total land area of the city (km2),525.18,Square kilometres
HUN,Hungary,Budapest,2012,Total land area of the city (km2),525.18,Square kilometres
HUN,Hungary,Budapest,2013,Total land area of the city (km2),525.18,Square kilometres
HUN,Hungary,Budapest,2014,Total land area of the city (km2),525.18,Square kilometres
DNK,Denmark,Copenhagen,2008,Total land area of the city (km2),519.04,Square kilometres
DNK,Denmark,Copenhagen,2009,Total land area of the city (km2),519.04,Square kilometres
DNK,Denmark,Copenhagen,2010,Total land area of the city (km2),519.04,Square kilometres
DNK,Denmark,Copenhagen,2011,Total land area of the city (km2),519.04,Square kilometres
DNK,Denmark,Copenhagen,2012,Total land area of the city (km2),519.04,Square kilometres
DNK,Denmark,Copenhagen,2013,Total land area of the city (km2),519.04,Square kilometres
DNK,Denmark,Copenhagen,2014,Total land area of the city (km2),519.04,Square kilometres
IRL,Ireland,Dublin,2008,Total land area of the city (km2),925.58,Square kilometres
IRL,Ireland,Dublin,2009,Total land area of the city (km2),925.58,Square kilometres
IRL,Ireland,Dublin,2010,Total land area of the city (km2),925.58,Square kilometres
IRL,Ireland,Dublin,2011,Total land area of the city (km2),925.58,Square kilometres
IRL,Ireland,Dublin,2012,Total land area of the city (km2),925.58,Square kilometres
IRL,Ireland,Dublin,2013,Total land area of the city (km2),925.58,Square kilometres
IRL,Ireland,Dublin,2014,Total land area of the city (km2),925.58,Square kilometres
FIN,Finland,Helsinki,2008,Total land area of the city (km2),752.71,Square kilometres
FIN,Finland,Helsinki,2009,Total land area of the city (km2),752.71,Square kilometres
FIN,Finland,Helsinki,2010,Total land area of the city (km2),752.71,Square kilometres
FIN,Finland,Helsinki,2011,Total land area of the city (km2),752.71,Square kilometres
FIN,Finland,Helsinki,2012,Total land area of the city (km2),752.71,Square kilometres
FIN,Finland,Helsinki,2013,Total land area of the city (km2),752.71,Square kilometres
FIN,Finland,Helsinki,2014,Total land area of the city (km2),752.71,Square kilometres
PRT,Portugal,Lisbon,2008,Total land area of the city (km2),1290.37,Square kilometres
PRT,Portugal,Lisbon,2009,Total land area of the city (km2),1290.37,Square kilometres
PRT,Portugal,Lisbon,2010,Total land area of the city (km2),1290.37,Square kilometres
PRT,Portugal,Lisbon,2011,Total land area of the city (km2),1290.37,Square kilometres
PRT,Portugal,Lisbon,2012,Total land area of the city (km2),1290.37,Square kilometres
PRT,Portugal,Lisbon,2013,Total land area of the city (km2),1290.37,Square kilometres
PRT,Portugal,Lisbon,2014,Total land area of the city (km2),1290.37,Square kilometres
SVN,Slovenia,Ljubljana,2008,Total land area of the city (km2),275.02,Square kilometres
SVN,Slovenia,Ljubljana,2009,Total land area of the city (km2),275.02,Square kilometres
SVN,Slovenia,Ljubljana,2010,Total land area of the city (km2),275.02,Square kilometres
SVN,Slovenia,Ljubljana,2011,Total land area of the city (km2),275.02,Square kilometres
SVN,Slovenia,Ljubljana,2012,Total land area of the city (km2),275.02,Square kilometres
SVN,Slovenia,Ljubljana,2013,Total land area of the city (km2),275.02,Square kilometres
SVN,Slovenia,Ljubljana,2014,Total land area of the city (km2),275.02,Square kilometres
GBR,United Kingdom,London,2008,Total land area of the city (km2),2653.87,Square kilometres
GBR,United Kingdom,London,2009,Total land area of the city (km2),2653.87,Square kilometres
GBR,United Kingdom,London,2010,Total land area of the city (km2),2653.87,Square kilometres
GBR,United Kingdom,London,2011,Total land area of the city (km2),2653.87,Square kilometres
GBR,United Kingdom,London,2012,Total land area of the city (km2),2653.87,Square kilometres
GBR,United Kingdom,London,2013,Total land area of the city (km2),2653.87,Square kilometres
GBR,United Kingdom,London,2014,Total land area of the city (km2),2653.87,Square kilometres
ESP,Spain,Madrid,2008,Total land area of the city (km2),1242.34,Square kilometres
ESP,Spain,Madrid,2009,Total land area of the city (km2),1242.34,Square kilometres
ESP,Spain,Madrid,2010,Total land area of the city (km2),1242.34,Square kilometres
ESP,Spain,Madrid,2011,Total land area of the city (km2),1242.34,Square kilometres
ESP,Spain,Madrid,2012,Total land area of the city (km2),1242.34,Square kilometres
ESP,Spain,Madrid,2013,Total land area of the city (km2),1242.34,Square kilometres
ESP,Spain,Madrid,2014,Total land area of the city (km2),1242.34,Square kilometres
NOR,Norway,Oslo,2008,Total land area of the city (km2),453.9,Square kilometres
