countrycode,country,city,year,subject,value
NLD,The Netherlands,Amsterdam,2008,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2008,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2008,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","47,559"
NLD,The Netherlands,Amsterdam,2008,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","64,000"
NLD,The Netherlands,Amsterdam,2008,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"123,000"
NLD,The Netherlands,Amsterdam,2008,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","206,000"
NLD,The Netherlands,Amsterdam,2008,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2008,Share of students in higher education in the total population (per 1000 persons),64
NLD,The Netherlands,Amsterdam,2008,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2008,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2009,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2009,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2009,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","44,891"
NLD,The Netherlands,Amsterdam,2009,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education",-
NLD,The Netherlands,Amsterdam,2009,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,-
NLD,The Netherlands,Amsterdam,2009,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2009,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2009,Share of students in higher education in the total population (per 1000 persons),59
NLD,The Netherlands,Amsterdam,2009,Proportion of working age population qualified at level 3 or 4 ISCED,-
NLD,The Netherlands,Amsterdam,2009,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",-
NLD,The Netherlands,Amsterdam,2010,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2010,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2010,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","52,907"
NLD,The Netherlands,Amsterdam,2010,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","86,000"
NLD,The Netherlands,Amsterdam,2010,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"121,000"
NLD,The Netherlands,Amsterdam,2010,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","251,000"
NLD,The Netherlands,Amsterdam,2010,Number of Children 0-4 in day care (publ.&priv) per 1000 children 0-4,-
NLD,The Netherlands,Amsterdam,2010,Share of students in higher education in the total population (per 1000 persons),69
NLD,The Netherlands,Amsterdam,2010,Proportion of working age population qualified at level 3 or 4 ISCED,26.1
NLD,The Netherlands,Amsterdam,2010,"Proportion of population aged 25-64 qualified at level 5 to 8 ISCED, from 2014 onwards",54.2
NLD,The Netherlands,Amsterdam,2011,Number of children 0-4 in day care or school,-
NLD,The Netherlands,Amsterdam,2011,"Share of early leavers from education and training, total -%",-
NLD,The Netherlands,Amsterdam,2011,"Students in higher education (ISCED level 5-8 from 2014 onwards), total","53,739"
NLD,The Netherlands,Amsterdam,2011,"Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education","89,000"
NLD,The Netherlands,Amsterdam,2011,Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education,"122,000"
NLD,The Netherlands,Amsterdam,2011,"Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards","246,000"
